kana,meaning,explain,example,example_explain
す,58 “す＋か行假名”表示“通过，透过”,「す」表示“轻；快；清爽”,▶ すごす「過ごす」 ②（他五）：过，度过,"解 「過す ぎる」的他动词。由经过某地引申出经过一段时间之意。
例 週しゅう 末まつ はどう過す ごすの？/周末怎么过？"
す,58 “す＋か行假名”表示“通过，透过”,「す」表示“轻；快；清爽”,▶ すける「透ける」 ⓪（自一）：透过……看见；透明,"解 和「過す ぎる」同源。透过→透明。
例 このシャツはすこしすける。/这件衬衫有点儿透。"
す,58 “す＋か行假名”表示“通过，透过”,「す」表示“轻；快；清爽”,▶ すぐれる「優れる」 ③（自一）：出色，优秀，卓越,"解 派生自「過す ぎる」→能通过的是优秀的。
例 この学がっ 校こう はすぐれた学がく 者しゃ たちを輩はい 出しゅつ している。/这个学校优秀的学者辈出。"
す,58 “す＋か行假名”表示“通过，透过”,「す」表示“轻；快；清爽”,▶ すく「空く」 ⓪（自五）：空，空隙,"解 すく→能通过→空隙。
例 お腹なか が空す いた。/肚子饿了。"
す,59 「す」表示“吸气时发出的声音”,「す」表示“轻；快；清爽”,▶ すきま「隙間」 ⓪（名）：缝隙；空闲的时间,"解 すき→空す く，ま→間ま →间。空间→缝隙。
例 戸と の隙すき 間ま から中なか を見み る。/从门缝往里看。"
す,59 「す」表示“吸气时发出的声音”,「す」表示“轻；快；清爽”,▶ すう「吸う」 ⓪（他五）：吸，吸入；吮吸,"解 模仿人吸气时发出的声音。
例 部へ 屋や でタバコを吸す わないでください。/请不要在房间里抽烟。"
せ,60 「せ」表示“紧迫；狭窄”,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ せまい「狭い」 ②（形）：狭小的，狭窄的,"解 せ→狭窄。
例 狭せま い部へ 屋や に住す んでいる。/住在狭小的房间里。"
せ,60 「せ」表示“紧迫；狭窄”,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ せまる「迫る」 ②（自五）：迫近，逼近,"解 せ→狭窄→紧迫。
例 締し め切き りが迫せま ってきた。/截止日期迫近了。"
せ,60 「せ」表示“紧迫；狭窄”,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ せめる「攻める·責める」 ②（他一）：攻打，进攻；谴责，责备,"解 「せまる」的他动词。逼近→进攻；责备。
例 自じ 分ぶん を責せ めて人ひと を責せ めるな。/责备自己，不要责备别人。"
せ,60 「せ」表示“紧迫；狭窄”,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ せめて 」①（副）：起码，至少,"解 せ→紧迫→至少。
例 せめてお名な 前まえ だけでも。/至少把你的名字告诉我吧。"
せ,60 「せ」表示“紧迫；狭窄”,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ せき「咳」 ②（名）：咳嗽,"解 せ→紧迫→急促，き→气。急促的气→咳嗽。
例 風か 邪ぜ で時々ときどき 咳せき が出で る。/因为感冒，不时会咳嗽。"
せ,60 「せ」表示“紧迫；狭窄”,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ せかす「急かす」 ②（他五）：催促,"解 せ→紧迫→紧急，催促。
例 急せ かさないでください。/别催我。"
せ,61 せ」表示“后背”，并且可以音变到「さ」「そ」,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ せっせと 」①（副）：孜孜不倦地，拼命地,"解 せ→紧迫→急促→拼命地。
例 せっせと働はたら いてお金かね を稼かせ ぐ。/拼命地工作挣钱。
熟词联想 せ「背」：后背"
せ,61 せ」表示“后背”，并且可以音变到「さ」「そ」,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ せ「背」 ⓪①（名）：后背；后方；身高,"解 せ→后背。
例 背せ が高たか い人ひと は後うし ろに坐すわ る。/个子高的人坐在后面。"
せ,61 せ」表示“后背”，并且可以音变到「さ」「そ」,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ せおう「背負う」 ②（他五）：背负；承担，担负,"解 せ→后背，おう→背负。
例 多た 額がく の借金しゃっきん を背せ 負お う。/背负巨额借款。"
せ,61 せ」表示“后背”，并且可以音变到「さ」「そ」,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ そる「反る」 ①（自五）：翘起，弯曲,"解 そ→せ→背。朝向后背→翘起，弯曲。
例 机つくえ の板いた が反そ った。/桌板翘起来了。"
せ,61 せ」表示“后背”，并且可以音变到「さ」「そ」,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ そむく「背く·叛く」 ②（自五）：违背；背叛,"解 そ→せ→背，むく→向む く→朝向。用后背朝向对方→背叛。
例 親おや の意い 見けん に背そむ く。/违背父母的意见。"
せ,61 せ」表示“后背”，并且可以音变到「さ」「そ」,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ そらす「逸らす」 ②（他五）：逃避；岔开（话题）,"解 そ→せ→背。与之相背→逃避。
例 現げん 実じつ から目め を逸そ らす。/逃避现实。"
せ,61 せ」表示“后背”，并且可以音变到「さ」「そ」,解析 可以采用联想法，「せ」联想到汉语中的“塞”。,▶ さる「去る」 ①（自、他五）：离开，离去,"解 さ→せ→后背。背向一个地方→离开。
例 八十八歳はちじゅうはっさい でこの世よ を去さ る。/在八十八岁时去世。"
そ,62 「そ」表示“轻；快”,,▶ そっと ⓪（副）：轻轻地，悄悄地,"解 そ→轻，と→副词后缀。
例 ドアをそっと閉し めた。/轻轻地关上了门。"
そ,62 「そ」表示“轻；快”,,▶ そる「剃る」 ①（他五）：剔，刮,"解 そ→轻，剃完胡子后浑身轻松。
例 髭ひげ 剃そ りで髭ひげ を剃そ る。/用刮胡刀刮胡子。"
そ,63 「そ」表示“大量附着”,,▶ そで「袖」 ⓪（名）：袖子,"解 そ→轻，て→手。手上轻飘飘的东西→袖子。
例 長なが 袖そで のシャツを着き ている。/穿着长袖衬衫。"
そ,63 「そ」表示“大量附着”,,▶ そう「沿う」 ⓪①（自五）：沿着，顺着；按照,"解 そ→附着→沿着。
例 川かわ に沿そ って桜さくら 並なみ 木き が続つづ いている。/沿河两岸樱树成排。
基き 本ほん 方ほう 針しん に沿そ う/按照基本方针"
そ,63 「そ」表示“大量附着”,,▶ そえる「添える」 ⓪②（他一）：添加，附加；使陪同,"解 そ→附加，え→へ→方向。
例 プレゼントに手て 紙がみ を添そ える。/在礼物上附上一封信。"
そ,63 「そ」表示“大量附着”,,▶ そだてる「育てる」 ③（他一）：养育，抚育；培养,"解 そ→附着→在旁边，たてる→立てる→使站立。在旁边看着孩子长大→养育。
例 子こ 供ども を育そだ てるのは大たい 変へん だ。/养育孩子非常辛苦。"
そ,63 「そ」表示“大量附着”,,▶ そだつ「育つ」 ②（自五）：发育；成长,"解 「育そだ てる」的自动词。
例 彼かの 女じょ は知ち 多た 半はん 島とう で育そだ った。/她在知多半岛长大。"
そ,63 「そ」表示“大量附着”,,▶ そなえる「備える」 ③②（他一）：准备，防备；设置,"解 可以采用联想法：そ→附加，な→那，え→方向，向那里不停地附加→准备，防备。
例 老ろう 後ご に備そな えてお金かね をためる。/存钱养老。"
そ,63 「そ」表示“大量附着”,,▶ そまる「染まる」 ⓪（自五）：染上，染成,"解 そ→附着→附着上别的颜色→染成。
例 血ち で真ま っ赤か に染そ まった。/被血染得鲜红。"
そ,63 「そ」表示“大量附着”,,▶ そめる「染める」 ⓪（他一）：染（上颜色）；脸发红,"解 「染そ まる」的他动词。
例 高こう 校こう では髪かみ を染そ めてはいけない。/高中不允许染发。"
そ,63 「そ」表示“大量附着”,,▶ そろう「揃う」 ②（自五）：齐全，齐备；一致，相同,"解 可以采用联想法，そろ→搜罗→齐全。
例 資し 料りょう はそろっているよ。/资料收集齐了。
形かたち がそろっている。/形状大小一致。"
た,64 「た」和「て」同行，表示“手”，以「たた」为代表,,▶ たたく「叩く」 ②（他五）：敲；扣；打击,"解 「たた」为用手敲击物体时发出的声音。
例 幸しあわ せなら手て をたたこう。/如果感到幸福你就拍拍手。"
た,64 「た」和「て」同行，表示“手”，以「たた」为代表,,▶ たたかう「戦う」 ⓪（自五）：战斗，作战,"解 たた→手，か→交叉。你一拳我一拳→战斗。
例 戦たたか わずに勝か つ。/不战而胜。
拓 たたかい「戦い」：战斗"
た,64 「た」和「て」同行，表示“手”，以「たた」为代表,,▶ たたむ「畳む」 ⓪（他五）：折，叠,"解 たた→手，む→关闭状。用手把物体折起来→折叠。
例 服ふく をたたんでしまう。/把衣服叠好收起来。
拓 たたみ「畳」：榻榻米"
た,64 「た」和「て」同行，表示“手”，以「たた」为代表,,▶ ただす「正す」 ②（他五）：改正；端正；纠正,"解 ただ→手。用手一点一点把错误的事情纠正过来。
例 服ふく を正ただ して出しゅっ 席せき する。/整理一下服装出席。"
た,64 「た」和「て」同行，表示“手”，以「たた」为代表,,▶ ただしい「正しい」 ③（形）：正确的,"解 与「正ただ す」同源。
例 君きみ の考かんが えは正ただ しい。/你的想法是正确的。"
た,64 「た」和「て」同行，表示“手”，以「たた」为代表,,▶ ためす「試す」 ②（他五）：尝试；试验；考验,"解 た→手，め→摸（联想法）。用手摸一摸→尝试。
例 新あたら しい服ふく を試ため す/试穿新衣服"
た,64 「た」和「て」同行，表示“手”，以「たた」为代表,,▶ たもつ「保つ」 ②（他五）：保持，维持,"解 た→手，もつ→持つ。拿在手里→保持。
例 秩ちつ 序じょ を保たも たなければならない。/必须保持秩序。"
た,65 「た」表示“多”,,▶ たつ「絶つ·断つ」 ①（他五）：断绝；切断,"解 た→手，用手切断。
例 親おや 子こ 関かん 係けい を断た つ/断绝亲子关系
解析 可以采用联想法：片假名タ来自汉字“多”。"
た,65 「た」表示“多”,,▶ たっぷり ③（副·自サ）：满，充满；足够；丰富,"解 た→多，ぷ→喷出来，り→拟声词、拟态词词尾。多到喷出来。
例 この料りょう 理り は栄えい 養よう たっぷりだ。/这道菜营养丰富。"
た,65 「た」表示“多”,,▶ ためる「貯める·溜める」 ⓪（他一）：储蓄，积攒,"解 た→多，め→ま行音有关闭的意思。
例 趣しゅ 味み はお金かね を貯た めることだ。/我的爱好是存钱。"
た,65 「た」表示“多”,,▶ たまる「貯まる·溜まる」 ⓪（自五）：积攒，储存,"解 「ためる」的自动词。
例 水みず が溜た まった/积水"
た,65 「た」表示“多”,,▶ たりる「足りる」 ⓪（自一）：足够，充分,"解 た→多→足够，充分。
例 今日きょう の仕し 事ごと は3さん 人にん で足た りる。/今天的工作有3个人就够了。"
た,65 「た」表示“多”,,▶ たす「足す」 ⓪（他五）：加，增加；加法,"解 「足た りる」的他动词。
例 スープに塩しお を足た す。/往汤里加盐。"
た,65 「た」表示“多”,,▶ だまる「黙る」 ②（自五）：住口，闭嘴,"解 た→多，浊音→不好的事物，ま→关闭状，有多少话都闷在嘴里→闭嘴。
例 黙だま って本ほん を読よ む。/默不作声地看书。"
た,66 「た」表示“下垂”,,▶ たくわえる「蓄える」 ④③（他一）：储备，储存,"解 た→多，くわえる→加く える→增加。多多地增加→积蓄。
例 金かね と食糧しょくりょう を蓄たくわ える。/储备金钱和粮食。
解析 た→ 多，太多了就会下垂。也可以采用联想法：「た」联想到汉语中的“耷拉”。"
た,66 「た」表示“下垂”,,▶ たれる「垂れる」 ②（自一）：低垂，垂着；耷拉,"解 た→下垂，れ→来（联想法）。垂下来→低垂。
例 木き の枝えだ が垂た れている。/树枝低垂着。"
た,66 「た」表示“下垂”,,▶ たらす「垂らす」 ②（他五）：滴，流；垂；耷拉,"解 「垂た れる」的他动词。
例 おいしい料りょう 理り によだれを垂た らす。/对着美味的料理流口水。"
た,66 「た」表示“下垂”,,▶ たれ「垂れ」 ②（名）：调料汁，酱汁,"解 た→下垂→滴。蘸酱汁后会滴下来。
例 焼やき 肉にく はたれにつけて食た べる。/烤肉蘸酱吃。"
た,66 「た」表示“下垂”,,▶ たらす「誑す」 ②（他五）：引诱；勾引；欺骗,"解 た→下垂→向下，ら→拉（联想法），す→使，让。拉对方，使对方垂下来→勾引。
例 人ひと をたらして金かね を取と る。/骗人钱财。"
た,66 「た」表示“下垂”,,▶ たおす「倒す」 ②（他五）：放倒，推倒；打倒,"解 た→垂，お→向下，す→使，让。使向下→打倒。或者直接联想「たお」→倒。
例 戦せん 争そう で敵てき を倒たお した。/在战争中打倒了敌人。"
た,66 「た」表示“下垂”,,▶ たおれる「倒れる」 ③（自一）：倒，倒下；垮台,"解 「倒たお す」的自动词。
例 いすが倒たお れた。/椅子倒了。"
た,66 「た」表示“下垂”,,▶ だます「騙す」 ②（他五）：骗，欺骗，诓骗,"解 だ→垂→向下，浊音→不好的事物，ま→封闭状。把对方蒙在鼓里→欺骗。
例 人ひと を騙だま す/骗人"
た,67 「た」表示“垂直向上移动”，以“た＋た行假名”为代表,,▶ たよる「頼る」 ②（自五）：依靠，依赖,"解 た→垂，よる→寄よ る→靠近。垂下来靠近别的物体→依靠，依赖。
例 海かい 外がい の援えん 助じょ に頼たよ る。/依靠国外的援助。
熟词联想 たつ「立つ·建つ」：站立；离开；建设"
た,67 「た」表示“垂直向上移动”，以“た＋た行假名”为代表,,▶ たつ「立つ·建つ」 ①（自五）：站立；离开；建设,"解 たつ→垂直向上移动。
派 本义为“垂直向上移动”。1. 站立（站起时人重心垂直向上移动）；2. 离开（从人起身引申出“离开”之意）；3. 建设（建筑物要从下往上建）。
例 山頂さんちょう に立た つ/站在山顶上
日に 本ほん を立た つ/离开日本
ビルが建た つ/高楼耸立"
た,67 「た」表示“垂直向上移动”，以“た＋た行假名”为代表,,▶ たてる「立てる·建てる」 ②（他一）：竖起；建设,"解 「立た つ」的他动词。
例 家いえ を建た てる/盖房子"
た,67 「た」表示“垂直向上移动”，以“た＋た行假名”为代表,,▶ たつ「経つ」 ①（自五）：（时间）经过，消逝,"解 与「立た つ」同源，从人起身引申出“时间消逝”之意。
例 1いち 時じ 間かん 経た ったらまた来き なさい。/过1小时再来吧。"
た,67 「た」表示“垂直向上移动”，以“た＋た行假名”为代表,,▶ たとえる「例える」 ③（他一）：比喻，举例，打比方,"解 派生自「立た つ」，本义为“树起一个典型给大家看”。
例 美び 人じん を桜さくら に例たと える。/把美人比作樱花。
拓 たとえば：比如，例如"
た,68 「た」表示“高”，以“た＋か行假名”为代表,,▶ たて「縦」 ①（名）：竖，竖着,"解 垂直是一种竖直向上的移动→竖着
例 日に 本ほん の本ほん は縦たて に書か く。/日本的书竖着书写。
熟词联想 たかい「高い」：高的；贵的"
た,68 「た」表示“高”，以“た＋か行假名”为代表,,▶ たかい「高い」 ②（形）：高的；贵的,"解 たか→高。
例 日に 本ほん は物ぶっ 価か が高たか い。/日本物价很高。"
た,68 「た」表示“高”，以“た＋か行假名”为代表,,▶ たかめる「高める」 ③（他一）：提高，抬升,"解 たか→高，める→他动词后缀。
例 実じっ 践せん で実力じつりょく を高たか める。/通过实践提高实力。"
た,68 「た」表示“高”，以“た＋か行假名”为代表,,▶ たかまる「高まる」 ③（自五）：高涨；提高,"解 たか→高，まる→自动词后缀。
例 講こう 演えん を聴き いて気き 分ぶん が高たか まった。/听了演讲之后，情绪高涨。"
た,68 「た」表示“高”，以“た＋か行假名”为代表,,▶ たか「鷹」 ⓪（名）：老鹰,"解 たか→高。老鹰飞得高。
例 空そら に鷹たか が飛と んでいる。/鹰在空中飞翔。"
た,68 「た」表示“高”，以“た＋か行假名”为代表,,▶ たけ「岳」 ②（名）：高山,"解 たけ→たか→高。
例 岳たけ とは大おお きい山やま である。/岳意为高山。"
た,68 「た」表示“高”，以“た＋か行假名”为代表,,▶ たき「滝」 ⓪（名）：瀑布,"解 たき→たか→高。瀑布从高处流下。
例 崖がけ から20にじゅう メートルの滝たき が流なが れる。/悬崖上有高达20米的瀑布流下。"
ち,69 「ち」表示“血液”,熟词联想 ち「血」：血液,▶ ち「血」 ⓪（名）：血液,"解 ち→血液。
例 戦せん 争そう で血ち を流なが した。/在战争中流过血。"
ち,69 「ち」表示“血液”,熟词联想 ち「血」：血液,▶ ち「乳」 ①（名）：乳，奶,"解 ち→血液。乳汁来自血液。
例 子こ どもはもう乳ち 離ばな れした。/孩子已经断奶了。"
ち,69 「ち」表示“血液”,熟词联想 ち「血」：血液,▶ ちち「父」 ②①（名）：父亲,"解 ち→血液。父亲和儿女血脉相连。
例 父ちち は高こう 校こう の国こく 語ご の先生せん せい だ。/我父亲是高中的语文老师。"
ち,69 「ち」表示“血液”,熟词联想 ち「血」：血液,▶ ちから「力」 ③（名）：力量，力气,"解 ち→血液，から→从。人的力量来自血液。
例 歩ある く力ちから さえない。/连走路的力气都没有了。"
ち,70 「ち」表示“小”,熟词联想 ち「血」：血液,▶ ちかう「誓う」 ②⓪（他五）：起誓，发誓,"解 ち→血液，か→交叉，覆盖。血交叉→发誓的时候抛洒热血。
例 彼かの 女じょ を愛あい することを誓ちか いますか。/你能发誓你爱她吗？
解析 「ち」发音时口型极小，故有“小”之意。
熟词联想 ちいさい「小さい」：小的
ちょっと：有点"
ち,70 「ち」表示“小”,熟词联想 ち「血」：血液,▶ ちいさい「小さい」 ③（形）：小的,"解 ち→小。
例 川かわ の向む こうに小ちい さい村むら がある。/河对面有一个小村子。"
ち,70 「ち」表示“小”,熟词联想 ち「血」：血液,▶ ちょっと ①⓪（副）：小，一点儿；一会儿,"解 ち→小，变为「ちょ」更容易发音，と→副词标志。
例 ちょっと待ま ってください。/请稍等。"
ち,70 「ち」表示“小”,熟词联想 ち「血」：血液,▶ ちぢむ「縮む」 ⓪（自五）：缩，收缩,"解 ち→小，む→发音时嘴型关闭，故有关闭之意。封闭的物体不断变小→收缩。
例 このシャツは洗せん 濯たく しても縮ちぢ まない。/这件衬衫洗后也不缩水。"
ち,70 「ち」表示“小”,熟词联想 ち「血」：血液,▶ ちる「散る」 ⓪（自五）：飘零，飘散,"解 ち→小。小的东西容易随风飘散。
例 サクラの花はな びらが風かぜ に散ち った。/樱花的花瓣随风飘散。"
ち,70 「ち」表示“小”,熟词联想 ち「血」：血液,▶ ちらす「散らす」 ⓪（他五）：撒；使分散,"解 「散ち る」的他动词。
例 地じ 面めん に花はな びらを散ち らす。/往地面上撒花瓣。"
ち,70 「ち」表示“小”,熟词联想 ち「血」：血液,▶ ちり「塵」 ⓪（名）：尘土，微尘,"解 ち→小。微尘很小。
例 塵ちり 一ひと つ落お ちてない部へ 屋や 。/一尘不染的房间。"
つ,71 「つ」表示“手”,,▶ つかう「使う」 ⓪（他五）：使用,"解 つ→手，か→交叉，覆盖。用手抓住→使用。
例 ペンを使つか って手て 紙がみ を書か く。/用钢笔写信。"
つ,71 「つ」表示“手”,,▶ つくる「作る」 ②（他五）：制作；创造,"解 つ→手，く→か→交叉，覆盖。制作东西时用手。
例 未み 来らい を作つく るのは子こ どもたちだ。/创造未来的是孩子们。"
つ,71 「つ」表示“手”,,▶ つかむ「掴む」 ②（他五）：抓住，揪住；理解,"解 つ→手，か→交叉，む→关闭状。
例 犬いぬ のしっぽを掴つか む。/抓住狗的尾巴。"
つ,71 「つ」表示“手”,,▶ つかまる「捕まる」 ⓪（自五）：被抓住，被逮住,"解 つ→手，か→交叉，まる→自动词后缀。
例 殺さつ 人じん 事じ 件けん の犯はん 人にん が捕つか まった。/杀人案件的犯人被逮住了。"
つ,71 「つ」表示“手”,,▶ つつむ「包む」 ②（他五）：包；裹；蒙,"解 つつ→用手一层一层包上，む→关闭。
例 新しん 聞ぶん 紙し で本ほん を包つつ む。/用报纸包书。
拓 つつみ「包み」：包裹"
つ,71 「つ」表示“手”,,▶ つねる「抓る」 ②（他五）：掐；拧；扭,"解 つ→手，ね→捏（联想法）。用手捏→掐，拧。
例 いたずらな子こ の顔かお を抓つね る。/掐恶作剧的孩子的脸。"
つ,71 「つ」表示“手”,,▶ つぶす「潰す」 ⓪（他五）：弄碎；打碎；压碎；使破碎,"解 つ→手，ぶ→把（联想法）。用手把东西压碎。
例 この家いえ をつぶしてマンションにするそうだ。/听说要拆掉这座房子盖公寓。"
つ,71 「つ」表示“手”,,▶ つぶれる「潰れる」 ⓪（自一）：压坏，挤破；倒塌,"解 「潰つぶ す」的自动词。
例 スーパーで買か ってきた卵たまご がつぶれた。/超市买回来的鸡蛋压破了。"
つ,71 「つ」表示“手”,,▶ つぶ「粒」 ①（名）：粒；颗粒,"解 和「潰つぶ す」同源，被压碎就变成了颗粒。
例 ご飯はん はひと粒つぶ でも浪ろう 費ひ してはいけない。/不可以浪费一粒饭。"
つ,72 「つ」表示“连接，附着”,,▶ つれる「連れる」 ⓪（他一）：带，领,"解 つ→手，れ→来（联想法）。牵着手带来→带，领。
例 私わたし も連つ れていってください。/请把我也带去吧。
熟词联想 つく「着く·付く·就く」： 附着；打开电器；到达；就（职）"
つ,72 「つ」表示“连接，附着”,,▶ つく「付く·着く·就く」 ①②（自五）：附着；打开电器；到达；就（职）,"解 つ→附着。
派 本义为“附着”。1. 附着（基本义）；2. 打开电器（使电附着在电器上）；3. 到达（人附着到某一地点）；4. 就职（人附着到某一工作岗位上）。
例 泥どろ がスカートについた。/泥沾到裙子上了。
テレビがついている。/电视开着。
日に 本ほん に着つ いた。/到日本了。
仕し 事ごと に就つ く/就职"
つ,72 「つ」表示“连接，附着”,,▶ つける「附ける·着ける·浸ける·就ける」 ②（他一）：安装上；打开电器；使到达；穿戴；泡，浸泡；就职,"解 「つく」的他动词。
例 テレビをつける/打开电视
服ふく を水みず につける/把衣服泡在水里
漬つけ 物もの /咸菜"
つ,72 「つ」表示“连接，附着”,,▶ つづく「続く」 ⓪（自五）：继续；连续；接连发生,"解 つ→连接→事物接连不断→继续，持续。也可以采用联想法，つづ→一次又一次。
例 冬ふゆ になると雪ゆき が降ふ りつづく。/一到冬天雪下个不停。"
つ,72 「つ」表示“连接，附着”,,▶ つづける「続ける」 ⓪（他一）：继续，持续，接连不断,"解 「つづく」的他动词。
例 この薬くすり は飲の み続つづ けないと効こう 果か がない。/这个药不坚持喝就没效果。"
つ,72 「つ」表示“连接，附着”,,▶ つな「綱」 ②（名）：粗绳子，绳索,"解 つ→连接。绳子用来把事物连接在一起。
例 舟ふね を綱つな で岸きし に繋つな ぐ。/把船用绳索系在岸边。"
つ,72 「つ」表示“连接，附着”,,▶ つなぐ「繋ぐ」 ⓪（他五）：连接；系；套,"解 つな→绳子。绳子可以用来连接，系，套。
例 馬うま を馬ば 車しゃ に繋つな ぐ。/把马套在马车上。"
つ,73 「つ」表示“采摘；收集”以“つ＋ま行假名”为代表,,▶ つながる「繋がる」 ⓪（自五）：连接，相连,"解 「繋つな ぐ」的自动词。
例 妻つま とは心こころ が繋つな がっている。/我和妻子心心相印。
解析 采摘食物→ 摘 つ む（采摘）； 把采摘到的食物堆积、积攒起来→ 積 つ む（积攒）；把食物紧紧地塞入筐里→ 詰 つ める（ 塞入）；筐塞得满满的状态→詰 つま る（紧紧的，满满的）。"
つ,73 「つ」表示“采摘；收集”以“つ＋ま行假名”为代表,,▶ つむ「摘む」 ⓪（他五）：采摘,"解 つむ→采摘食物。（采摘之意的来源是：つ→手，む→关闭状，关在手里→采集）
例 娘むすめ は茶ちゃ 畑ばたけ で茶ちゃ を摘つ む。/女儿在茶田上采茶。"
つ,73 「つ」表示“采摘；收集”以“つ＋ま行假名”为代表,,▶ つむ「積む」 ⓪（他五）：堆积；积攒,"解 つむ→把采摘到的食物堆积、积攒起来。
例 この会かい 社しゃ で経けい 験けん を積つ む。/在这家公司积累经验。"
つ,73 「つ」表示“采摘；收集”以“つ＋ま行假名”为代表,,▶ つめる「詰める」 ②（他一）：塞进，装入,"解 つめ→采摘食物→把食物紧紧地塞入筐里→塞进。
例 荷に 物もつ をかばんにつめる。/把东西装到皮包里。"
て,74 「て」表示“手”,熟词联想 て「手」：手,▶ て「手」 ①（名）：手；手段,"解 て→手。
例 手て を合あ わせて拝おが む。/合掌祈求。"
て,74 「て」表示“手”,熟词联想 て「手」：手,▶ てのひら「掌」 ①②（名）：手掌,"解 て→手，の→的，ひら→平ひら 。把手放平→手掌。
例 食た べ物もの を掌てのひら に載の せる。/把食物放在手上。"
て,74 「て」表示“手”,熟词联想 て「手」：手,▶ ていれ「手入れ」 ③①（名·他サ）：拾掇，修整；修剪,"解 把手伸进去→拾掇，修整。
例 庭てい 園えん の手て 入い れをする。/修整庭院。"
て,74 「て」表示“手”,熟词联想 て「手」：手,▶ てあて「手当て」 ①（名）：津贴；补贴,"解 「当てる」意为“碰撞；接触”。「手当て」本义为“受伤后用手捂着伤口”，进而引申出“处理，对待”之意。给工作的人的各种待遇→津贴。
例 この会かい 社しゃ は住じゅう 宅たく 手て 当あて を支し 払はら う。/这家公司支付住房津贴。"
て,74 「て」表示“手”,熟词联想 て「手」：手,▶ てま「手間」 ②（名）：（工作上需要的）劳力和时间，工夫,"解 て→手→用手指代劳动，ま→間→时间。
例 この仕し 事ごと は結けっ 構こう 手て 間ま がかかる。/这个工作非常费工夫。"
と,75 「と」表示“分解；溶解”，以“と+か行假名”为代表,解析 可以采用联想法：「と」联想到汉语中的“脱”。,▶ とく「解く」 ①（他五）：分解；解开；解除；解明,"解 と→分解。
例 しゃがんで靴くつ の紐ひも を解と く。/蹲下解开鞋带。"
と,75 「と」表示“分解；溶解”，以“と+か行假名”为代表,解析 可以采用联想法：「と」联想到汉语中的“脱”。,▶ とく「溶く」 ①（他五）：溶解，化开,"解 と→溶解。
例 粉こな ミルクをお湯ゆ で溶と く。/用热水冲奶粉。"
と,75 「と」表示“分解；溶解”，以“と+か行假名”为代表,解析 可以采用联想法：「と」联想到汉语中的“脱”。,▶ とける「解ける·溶ける」 ②（自一）：分解；融化,"解 「とく」的自动词。
例 この肉にく は口くち に入い れるとすぐとける。/这个肉入口即化（形容肉脂肪丰富，十分美味）。"
と,75 「と」表示“分解；溶解”，以“と+か行假名”为代表,解析 可以采用联想法：「と」联想到汉语中的“脱”。,▶ とろける「蕩ける」 ③⓪（自一）：溶化，溶解,"解 可以采用联想法：とろけ→脱落开。
例 暑あつ さでチョコレートがとろけた。/因天气太热巧克力化了。"
と,76 「と」表示“研磨，尖锐”，以“と+が行假名”为代表,解析 可以采用联想法：「と」联想到汉语中的“脱”。,▶ どろ「泥」 ②（名）：泥，泥巴,"解 と→溶解→土化在水里就是泥，浊音→消极的事物。
例 子こ どもの手て が泥どろ だらけだ。/孩子满手是泥。
拓 どろどろ：黏糊糊、稀溜溜的状态
解析 「と」由分解引申出“研磨”之意， 进而引申出“尖”之意。"
と,76 「と」表示“研磨，尖锐”，以“と+が行假名”为代表,解析 可以采用联想法：「と」联想到汉语中的“脱”。,▶ とぐ「研ぐ」 ①（他五）：磨快；擦亮；研磨,"解 と→研磨→磨快。
例 刀かたな を研と ぐ/磨刀"
と,76 「と」表示“研磨，尖锐”，以“と+が行假名”为代表,解析 可以采用联想法：「と」联想到汉语中的“脱”。,▶ とがる「尖る」 ②（自五）：尖,"解 とが→研磨，研磨之后会变尖。
例 私わたし はとがった顔かお をしている。/我的脸很尖。"
と,76 「と」表示“研磨，尖锐”，以“と+が行假名”为代表,解析 可以采用联想法：「と」联想到汉语中的“脱”。,▶ とげ「刺」 ②（名）：刺,"解 和「尖とが る」同源，尖→刺儿。
例 この木き の葉は っぱはとげがある。/这棵树的叶子上有刺。"
と,77 「と」表示“停止”,解析 可以采用联想法：「と」联想到汉语中的“脱”。,▶ とうげ「峠」 ③（名）：山顶；高潮,"解 由「尖とが る」引申而来。另外，日本人造的汉字「峠」也很形象，上山下山的交界点即为山顶。
例 一いち 日にち をかけてようやく峠とうげ を越こ えた。/经过一天，终于越过了山顶。
熟词联想 とまる「止まる」：停止"
と,77 「と」表示“停止”,解析 可以采用联想法：「と」联想到汉语中的“脱”。,▶ とまる「止まる·泊まる」 ⓪（自五）：停止；住宿,"解 と→停止。
例 港みなと にいくつかの船ふね が泊と まっている。/码头上停着几艘船。"
